feature,importance
pda,0.0004151369757346528
let,0.0004133109127574902
ail,0.000412111171720848
sta,0.00040651993732595247
cre,0.0004054260490608705
s ,0.00040268140141736414
duc,0.0003954903223009343
ep,0.00038612430911706756
xec,0.00038556994392043026
n# ,0.0003777134121049509
",",0.0003648961285263045
has_exec,0.00036486571745156265
ins,0.0003555710811445665
 be,0.0003543555590034065
pro,0.00035234975056118944
count_;,0.00035178504826576673
od,0.0003504245669553085
we,0.0003482704840276776
has_delete,0.00034712956661464914
rna,0.0003429240072792135
be,0.00033532170330356943
c ,0.0003326574260552822
upd,0.0003316074269616251
c,0.00033119121660294814
uct,0.00032856764367113515
rn,0.00032579073498633553
has_waitfor,0.00031979129666316765
tw,0.00031272888578394784
ch,0.0003098352868945856
du,0.0003077241723100521
tfo,0.0003077038679868385
'n,0.00029931990496600685
eat,0.0002979817400191266
it,0.0002955118664926641
d_,0.0002900167642376859
etw,0.0002892163476657306
'=',0.0002890551873763655
"d, ",0.0002883281791647297
t_,0.00028759053865310476
*,0.00027853868715416034
 d,0.00027702835802195227
ad,0.00027538272530292613
_a,0.0002746384609724276
>=,0.00027267777492980097
ot ,0.00027142892627978756
s,0.0002635194675712437
up,0.00026145608031953653
st,0.0002600253245867477
dat,0.00025950210118135886
et,0.00025754575562413187
rt,0.00025683196554507755
wai,0.0002538812670946758
;wa,0.00025280842969699043
us ,0.00025163649276025904
odu,0.0002511940279787075
twe,0.00024803554817531034
 de,0.00024514593232969457
 or,0.00024352286261203457
and,0.00024352269204079238
nd,0.00023619220490622765
ni,0.0002338889594658036
> ,0.000230978252219821
 (s,0.00023057092319335272
e_,0.00022823931447046294
or,0.00022540231859292242
ric,0.0002204315714186251
 =,0.00021987777056624476
 sl,0.00021697520935230245
 c,0.00021603699037694762
)# ,0.00021510705453476952
nd ,0.00021431718370476454
 em,0.00021161308230632412
t_i,0.00021153811001910807
sl,0.00020383578695536502
< ,0.0002019534649294687
e,0.00020034706142749379
mai,0.00019831106130385618
>= ,0.00019563241018821467
bet,0.00019562372982435882
"d,",0.00019287818964316004
ike,0.0001926807554586235
l,0.0001910806947180161
ay ,0.00018853447428480844
 up,0.00018760678894463783
 wa,0.00018687167423075434
wa,0.00018457919014077474
s'n,0.0001845788040214424
ct_,0.00018243716638613645
 li,0.00018200319852976232
c(',0.00017936165733109977
me=,0.00017888299707171043
has_union,0.0001762171289927475
sc,0.00017575778299603923
ik,0.00017504489526432823
ke,0.00017445266128474548
 in,0.00017346651316706613
 n-,0.0001707540532972817
ed_,0.00016936028675911943
k(n,0.00016850582474587026
ma,0.00016840105161670168
_pr,0.00016700863126652233
s'=,0.00016470136931178038
"t,",0.0001644423819069899
ng ,0.0001612190516878387
"ll,",0.0001607451605563408
mit,0.00016025800420865
ela,0.0001545782157062376
!=,0.00015099835687299763
n) ,0.00014811019044032062
uc,0.0001460287613561203
lee,0.00014506298465629379
"""",0.0001434205871119155
rt ,0.0001387767318008256
ert,0.00013518238156764938
or ,0.00013407283342907353
itf,0.00013204359536503595
"id,",0.0001313820641402027
 r,0.00012700805231051116
n',0.00012358037256597786
em,0.0001231784800230468
rea,0.00012315327539254962
'-,0.00012195869455168694
 > ,0.00012103031307440699
on,0.00012087945032101146
use,0.00011947806893592152
en ,0.00011883251983398811
 an,0.00011754430175037891
has_delay,0.00011462811418170898
tat,0.00011455948446354011
double_quote_count,0.00011173950661593355
:,0.00011139173353340123
n#,0.0001110254699331026
=n#,0.00011061786942690318
roc,0.00011051166981198906
 <=,0.00010950591212527481
rod,0.0001090832527601419
 o,0.00010845818893416956
ke ,0.00010829759293834301
count_&&,0.00010714416668242713
de,0.00010651814691225806
pri,0.00010615662690208041
ce,0.00010582796736105145
'=,0.00010487138667508253
<=,0.0001028519909245241
dur,0.0001025010998151526
cal,0.00010148195903944148
"l, ",0.00010094225730745294
'# ,0.0001008226706153746
 *,9.987159428393419e-05
imi,9.66551836471391e-05
ark,9.644428546900838e-05
ce ,9.454452917679854e-05
t ,9.307281752377061e-05
"l,",9.275534339493646e-05
"count_""",9.249725352764973e-05
tus,9.119093795137817e-05
li,8.724647049922367e-05
ur,8.598289010797544e-05
ed,8.524616283420438e-05
 >=,8.361357511268157e-05
vin,8.296996654416049e-05
has_update,8.215136296049993e-05
(n=,8.15987819792297e-05
/n),7.901097762918662e-05
 u,7.899804306242211e-05
da,7.774562947708329e-05
re(,7.521410934333392e-05
b(,7.446401779049393e-05
rk,7.41122917054905e-05
 va,7.367834590335984e-05
'n:,7.341411976115036e-05
lik,7.0989066091127e-05
ob,7.0485457806582e-05
ob(,6.830859599483634e-05
ait,6.826211112820864e-05
_p,6.824011818973968e-05
mbl,6.796892465845688e-05
ben,6.737569155634767e-05
on ,6.732928722355102e-05
s_p,6.69565861808153e-05
 < ,6.693999143927236e-05
 (',6.558285918645856e-05
acc,6.525055162034082e-05
dom,6.497162148445083e-05
/,6.471303158786675e-05
en,6.309144032997444e-05
"t, ",6.142512021431042e-05
 (n,6.098942801959643e-05
_s,6.089397731892204e-05
 ra,6.0535909147611275e-05
ep(,6.050901363806902e-05
bl,6.0403598886728476e-05
 !,5.935854492891192e-05
 us,5.794489856952002e-05
in,5.766155226433471e-05
 %',5.7182857292139454e-05
ar,5.689433809415276e-05
'n ,5.6441921979157256e-05
)--,5.5458370307036686e-05
ues,5.538941497465124e-05
oce,5.501870050719945e-05
ia,5.4881789257453865e-05
 no,5.481541277977185e-05
lu,5.3775696068536285e-05
'p,5.207805589030017e-05
 !=,5.161943646066987e-05
er(,5.134436931230448e-05
)) ,5.1279508114236546e-05
rk(,5.079795918352052e-05
g_,5.020617050018006e-05
s'-,5.0054471450545885e-05
max,4.92691968788838e-05
all,4.8689095612578856e-05
b(n,4.854019465660278e-05
av,4.852100011933673e-05
e=,4.8207752499132296e-05
 (i,4.8089073044639124e-05
k,4.6881665872757236e-05
e(,4.584981833055909e-05
rma,4.5749799551933585e-05
 ma,4.44593401668187e-05
sts,4.419532312464514e-05
has_having,4.369701594224059e-05
nio,4.319375937601832e-05
avi,4.3038308195613734e-05
ng,4.284385603297215e-05
g ,4.205141494754769e-05
cr,4.2007961743177975e-05
